crash_id,crash_date,S0,VIX_crash,VIX_minus10,VIX_plus10
1,2008-10-15,65.67296600341797,69.25,46.5155,67.68700000000001
2,2011-08-08,86.93537139892578,48.0,23.474,38.343
3,2020-03-16,220.43922424316406,82.69,38.85,68.684
