crash_id,crash_date,S0,T_years,sigma_atm_from_VIX,sigma_realized_pre,VIX_crash
1,2008-10-15,65.67296600341797,0.11904761904761904,0.6925,0.8224625239102884,69.25
2,2011-08-08,86.93537139892578,0.11904761904761904,0.48,0.31339498004470623,48.0
3,2020-03-16,220.43922424316406,0.11904761904761904,0.8269,0.7829766134469787,82.69
